бязь,"агъ (ди, ар)"
сорочка,"берхIем (и, ар)"
слякоть,бетIур
соперничество,бехIс
сосок,"бизи (-, бур)"
сова,"бугьу (йи, бур)"
сыч,"бугьу (йи, бур)"
свинья (диал.),букьац
соловей,булбул
свалка,бурчIан
свинья,"вакк (ала, ар)"
свинина,ваккалан якк
свинарь,ваккарихъан
свинопас,ваккарихъан
самый,варилас
с (сверху вниз),вартталас
сверху,вартталас
со (сверху вниз),вартталас
способный,вереф
сотня,верш
сто,верш
скворец,галун джакьв
судно,гами
слово,"гаф (гафуни / гафтти, гафар)"
с голоду,гашила
свинка,гиштта
сера,"гугурт (и, -)"
солод,гунчI
страх,гучI
страшась,гучIай
со страху,гучIала
страх,гучIвел
сознание,"гъавур (ди, -)"
справить,гъайкас
справлять,гъайкас
скорбь,гъам (уни: ар)
соня,гъархьалай
спать,"гъархьас (гъархьай, гъархьуна, гъархь, гъархьуб, гъамархьа)"
север,гъванкIар
скупой,гъилин джикъеф
стать (остановиться),"гъирхIас (гъирхIай, гъирхIуна, гъирхI, гъирхIуб, гъимирхIа)"
стоять,"гъирхIас (гъирхIай, гъирхIуна, гъирхI, гъирхIуб, гъимирхIа)"
стать (остановиться),"гъузанас (гъурзанди, гъузуна, гъузен, гъузуб, магъурзана)"
стоять,"гъузанас (гъурзанди, гъузуна, гъузен, гъузуб, магъурзана)"
стоп,гъузен
стояние,гъузуб
собака,"гъуй (гъвара, гъурур)"
склон,"гъун (а, ар)"
стебель (высохший),"гъур (у, ар)"
сумка (переметная),гьебеяр
скалка,гьел
стрела,гьел
спрашивать,гьирхвас
спросить,гьирхвас
способность,"гьунар (и, ар)"
способный,"гьунарлу (йи, бур)"
смешать,"гIадаркас (гIадаркай, гIадаркуна, гIадарк, гIадаркуб, гIадамарка)"
смешивать,"гIадаркас (гIадаркай, гIадаркуна, гIадарк, гIадаркуб, гIадамарка)"
стекло,гIайна
скул,гIанцI
сенокос,гIар уцуб
сыпать,"гIахъас (гIархъай, гIахъуна, гIахъ, гIахъуб, гIамархъа)"
совать,"гIикIас (гIикIай, гIикIуна, гIикI, гIикIуб, гIимикIа)"
сунуть,"гIикIас (гIикIай, гIикIуна, гIикI, гIикIуб, гIимикIа)"
скала,"дагьар (и, ар)"
секач,"дагьра (йи, бур)"
серп,"дагьур (и, ар)"
спеть,даллай акьас
ствол,"дар (дара, дарар)"
степень,дараджа
сооружение,"дарамат (и, ар)"
строение,"дарамат (и, ар)"
скорбь,"дард (уни, ар)"
скорее,дахи
скоро,дахи
срочно,дахи
стыть,дехъес
седина,джагвар чIарар
самый,джаллубурилас
сумма,джам
сливки,джар
слой,джар
слоиться,джар джар хьас
скрывать,джин акьас
скрыть,джин акьас
спрятать,джин акьас
спрятаться,джинихьас
сорт,джуьре
суд,диван
свернуть (ся),диджанас
свертывать (ся),диджанас
сворачивать (ся),диджанас
слизать,дужас
слизывать,дужас
сшить,дукьанас
соха,"дуруц (и, ар)"
сыграть,"дурхIас (дурхIай, дурхIуна, дурхI, дурхIуб, мадурхIа)"
сустав,"дуьхIуьб (и, ар)"
семь,ерид
седьмой,еридпеф
"старый (о вещах, животных)",ерсеф
семьдесят,ерцIур
семдесятый,ерцIурпеф
собирать,завал акьас
собрать,завал акьас
сборщик,завал аркьаф
собираться,завал хьас
собраться,завал хьас
собранный,завал хьеф
сито,"зерфел (и, ар)"
селезенка,зуьлез
ступень (каменная),зуьлер
сережка,"ибурихъан (ди, ар)"
серьга,"ибурихъан (ди, ар)"
снег,"ибхь (и, ер)"
снежный,ибхьеринф
стружка,"ибцIел (и, ар)"
счастливого пути!,идже рекъ хьурай!
смиренность,ислахIвел
смиренность,ислахIф
стакан,исттикан
сладкость,иттевел
сладости,иттеттар
сладкий,иттеф
сладость,иттеф
сладко,итти
связать,"итIанас (иртIанди, итIуна, итIен, итIуб, имиртIана)"
